<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200714,120400,119.7800000,119.7800000,119.7100000,119.7300000,600
US1.IBM,1,20200714,120500,119.6900000,119.7400000,119.6900000,119.7400000,300
US1.IBM,1,20200714,120600,119.6400000,119.6400000,119.6400000,119.6400000,400
US1.IBM,1,20200714,120700,119.6200000,119.6200000,119.5200000,119.5200000,1205
US1.IBM,1,20200714,120800,119.4900000,119.4900000,119.4000000,119.4300000,1386
US1.IBM,1,20200714,120900,119.4700000,119.4900000,119.4550000,119.4550000,500
US1.IBM,1,20200714,121000,119.3400000,119.3400000,119.3400000,119.3400000,100
US1.IBM,1,20200714,121200,119.3600000,119.3600000,119.3600000,119.3600000,229
US1.IBM,1,20200714,121600,119.3300000,119.3800000,119.3300000,119.3800000,300
US1.IBM,1,20200714,121700,119.4600000,119.4600000,119.3900000,119.3900000,500
US1.IBM,1,20200714,121800,119.4000000,119.4200000,119.3000000,119.3100000,2300
US1.IBM,1,20200714,121900,119.3100000,119.3700000,119.3050000,119.3700000,1000
US1.IBM,1,20200714,122000,119.3900000,119.4150000,119.3900000,119.4100000,800
US1.IBM,1,20200714,122100,119.4100000,119.4700000,119.4000000,119.4300000,900
US1.IBM,1,20200714,122200,119.4400000,119.4400000,119.4400000,119.4400000,200
US1.IBM,1,20200714,122300,119.4200000,119.4700000,119.4200000,119.4400000,400
US1.IBM,1,20200714,122400,119.4500000,119.4500000,119.4500000,119.4500000,100
US1.IBM,1,20200714,122600,119.3800000,119.3800000,119.3000000,119.3500000,900
US1.IBM,1,20200714,122800,119.3400000,119.3400000,119.3200000,119.3200000,200
US1.IBM,1,20200714,123000,119.3500000,119.3700000,119.3000000,119.3700000,600
US1.IBM,1,20200714,123100,119.4600000,119.4600000,119.4400000,119.4400000,200
US1.IBM,1,20200714,123200,119.4900000,119.4900000,119.4600000,119.4600000,300
US1.IBM,1,20200714,123300,119.4700000,119.4700000,119.4400000,119.4400000,300
US1.IBM,1,20200714,123400,119.3400000,119.3800000,119.3400000,119.3800000,200
US1.IBM,1,20200714,123500,119.3900000,119.4400000,119.3900000,119.4300000,400
US1.IBM,1,20200714,123600,119.4500000,119.4900000,119.4500000,119.4900000,200
US1.IBM,1,20200714,123700,119.5700000,119.5700000,119.5700000,119.5700000,100
US1.IBM,1,20200714,123900,119.4250000,119.4250000,119.4250000,119.4250000,200
US1.IBM,1,20200714,124000,119.4300000,119.4600000,119.4200000,119.4200000,400
US1.IBM,1,20200714,124100,119.5300000,119.5300000,119.5300000,119.5300000,100
US1.IBM,1,20200714,124200,119.5400000,119.5500000,119.5300000,119.5500000,300
US1.IBM,1,20200714,124300,119.5900000,119.6000000,119.5600000,119.5600000,400
US1.IBM,1,20200714,124400,119.5500000,119.6100000,119.5500000,119.6100000,300
US1.IBM,1,20200714,124500,119.5800000,119.5800000,119.4800000,119.4900000,500
US1.IBM,1,20200714,124600,119.6300000,119.6300000,119.5800000,119.6200000,800
US1.IBM,1,20200714,124700,119.6100000,119.6600000,119.6050000,119.6600000,402
US1.IBM,1,20200714,124800,119.6600000,119.7400000,119.6600000,119.7400000,300
US1.IBM,1,20200714,124900,119.7600000,119.7900000,119.7600000,119.7700000,400
US1.IBM,1,20200714,125000,119.7750000,119.7750000,119.7700000,119.7700000,200
US1.IBM,1,20200714,125100,119.8000000,119.8400000,119.7100000,119.7100000,1300
US1.IBM,1,20200714,125200,119.6100000,119.6850000,119.6100000,119.6800000,800
US1.IBM,1,20200714,125300,119.6500000,119.6500000,119.6500000,119.6500000,200
US1.IBM,1,20200714,125400,119.6900000,119.7000000,119.6900000,119.7000000,300
US1.IBM,1,20200714,125500,119.6500000,119.6500000,119.5900000,119.5900000,300
US1.IBM,1,20200714,125600,119.6300000,119.6300000,119.5400000,119.5400000,600
US1.IBM,1,20200714,125700,119.5100000,119.5100000,119.5100000,119.5100000,100
US1.IBM,1,20200714,125800,119.5400000,119.5700000,119.5000000,119.5700000,1000
US1.IBM,1,20200714,125900,119.6000000,119.6000000,119.5500000,119.5500000,400
US1.IBM,1,20200714,130000,119.5300000,119.5700000,119.5300000,119.5700000,300
US1.IBM,1,20200714,130100,119.6100000,119.6100000,119.6000000,119.6000000,300
US1.IBM,1,20200714,130200,119.5300000,119.5400000,119.5000000,119.5100000,500
US1.IBM,1,20200714,130400,119.5500000,119.5500000,119.5500000,119.5500000,100
US1.IBM,1,20200714,130500,119.4700000,119.4700000,119.4700000,119.4700000,100
US1.IBM,1,20200714,130600,119.4700000,119.4700000,119.4700000,119.4700000,100
US1.IBM,1,20200714,130700,119.4500000,119.4500000,119.4200000,119.4200000,200
US1.IBM,1,20200714,130800,119.4900000,119.4900000,119.4600000,119.4600000,200
US1.IBM,1,20200714,130900,119.4500000,119.4700000,119.3300000,119.3300000,700
US1.IBM,1,20200714,131000,119.3500000,119.3600000,119.3500000,119.3600000,200
US1.IBM,1,20200714,131100,119.3000000,119.3000000,119.3000000,119.3000000,100
US1.IBM,1,20200714,131200,119.3600000,119.3800000,119.3600000,119.3800000,322
US1.IBM,1,20200714,131300,119.3700000,119.3700000,119.3700000,119.3700000,100
US1.IBM,1,20200714,131400,119.3700000,119.4000000,119.3700000,119.4000000,300
US1.IBM,1,20200714,131500,119.3400000,119.3400000,119.3200000,119.3200000,300
US1.IBM,1,20200714,131600,119.3700000,119.3700000,119.2800000,119.2800000,400
US1.IBM,1,20200714,131700,119.3000000,119.3000000,119.3000000,119.3000000,100
US1.IBM,1,20200714,131800,119.3000000,119.3000000,119.2400000,119.2400000,500
US1.IBM,1,20200714,131900,119.2150000,119.2600000,119.2150000,119.2600000,300
US1.IBM,1,20200714,132000,119.2400000,119.2800000,119.2400000,119.2800000,400
US1.IBM,1,20200714,132100,119.2700000,119.2700000,119.2700000,119.2700000,200
